car_name,price,link,image,seller,place_of_sale,upload_time,view
Mazda2 nhập khẩu thái nguyên chiếc,489 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3454672/Mazda2-nhap-khau-thai-nguyen-chiec.html,//static2.enbaccdn.com/zoom/670_500/ebx/2019/11/11/1098211/1573440833506351646.jpg,tinhnguyen14101010,Đà Nẵng,10:14 | 19.01.38,1.020
Tổng hợp những đánh giá suzuki blind van custom khách quan nhất,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3765597/Tong-hop-nhung-danh-gia-suzuki-blind-van-custom-khach-quan-nhat.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/09/05/1119873/1662339966717554109.jpg,danhgiaxe123,Đà Nẵng,08:09 | 05.09.22,116
Các đời xe Honda CR V: lịch sử hình thành,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3762277/Cac-doi-xe-Honda-CR-V-lich-su-hinh-thanh.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/07/29/1119873/16590523562983255507.jpg,danhgiaxe123,Đà Nẵng,10:19 | 20.08.22,101
Dấu hiệu nhận biết thước lái ô tô bị hỏng,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3761887/Dau-hieu-nhan-biet-thuoc-lai-o-to-bi-hong.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/07/23/1119873/16585705277401332259.jpg,danhgiaxe123,Đà Nẵng,19:51 | 18.08.22,103
"Đánh giá Volvo XC40 2022 Năng động, lịch lãm, công nghệ hiện đại và...",900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3760612/Danh-gia-Volvo-XC40-2022-Nang-dong-lich-lam-cong-nghe-hien-dai-va-thong-minh.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/08/14/1119873/16604535126173609129.jpeg,danhgiaxe123,Đà Nẵng,12:08 | 14.08.22,110
"Đánh giá, hình ảnh chi tiết nội thất Volvo XC60 2022: khoang lái, các...",900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3760568/Danh-gia-hinh-anh-chi-tiet-noi-that-Volvo-XC60-2022-khoang-lai-cac-hang-ghe-tien-nghi.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/07/17/1119873/16580372765691486872.jpg,danhgiaxe123,Đà Nẵng,17:32 | 13.08.22,115
Bảng giá xe khuyến mãi xe KIA mới nhất tháng 08/2022 ﻿,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3760553/Bang-gia-xe-khuyen-mai-xe-KIA-moi-nhat-thang-08-2022.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/07/21/1119873/165837007804937654.jpg,danhgiaxe123,Đà Nẵng,16:23 | 13.08.22,96
Bảng giá xe khuyến mãi xe Suzuki mới nhất tháng 07/2022 ﻿,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3760344/Bang-gia-xe-khuyen-mai-xe-Suzuki-moi-nhat-thang-07-2022.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/08/11/1119873/16602001567474585839.jpg,danhgiaxe123,Đà Nẵng,18:05 | 12.08.22,106
Bảng giá xe khuyến mãi xe Peugeot mới nhất tháng 07/2022 ﻿,900 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3759840/Bang-gia-xe-khuyen-mai-xe-Peugeot-moi-nhat-thang-07-2022.html,//static2.enbaccdn.com/zoom/670_500/ebx/2022/07/29/1119873/16590884709451615426.jpg,danhgiaxe123,Đà Nẵng,06:50 | 11.08.22,95
Thế hệ mới Hyundai Santafe 2019 siêu phẩm hấp dẫn nhất từ trước đến...,995 triệu,https://oto.enbac.com/Da-Nang/Xe-hoi/p3330567/The-he-moi-Hyundai-Santafe-2019-sieu-pham-hap-dan-nhat-tu-truoc-den-nay.html,//static2.enbaccdn.com/zoom/670_500/ebx/2019/01/11/1064776/15472211511123526246.jpg,Tungnguyensonghan199,Đà Nẵng,08:57 | 03.08.22,201
